transaction_id,linked_pan,account_id,transaction_date,transaction_type,mode,category,amount,balance_after_txn
TXN-1001,ABCDE1234F,CF-ACC-001,2024-10-01,CREDIT,UPI,Zomato Payout,1614,1614
TXN-1002,ABCDE1234F,CF-ACC-001,2024-10-01,DEBIT,UPI,Personal Expense,248,1366
TXN-1003,ABCDE1234F,CF-ACC-001,2024-10-02,CREDIT,NetBanking,Zomato Payout,1235,2601
TXN-1004,ABCDE1234F,CF-ACC-001,2024-10-02,DEBIT,UPI,Food,571,2030
TXN-1005,ABCDE1234F,CF-ACC-001,2024-10-03,CREDIT,UPI,Zomato Payout,1484,3514
TXN-1006,ABCDE1234F,CF-ACC-001,2024-10-03,DEBIT,UPI,Fuel,500,3014
TXN-1007,ABCDE1234F,CF-ACC-001,2024-10-04,CREDIT,NetBanking,Zomato Payout,1439,4453
TXN-1008,ABCDE1234F,CF-ACC-001,2024-10-04,DEBIT,UPI,Personal Expense,477,3976
TXN-1009,ABCDE1234F,CF-ACC-001,2024-10-05,CREDIT,UPI,Zomato Payout,701,4677
TXN-1010,ABCDE1234F,CF-ACC-001,2024-10-05,DEBIT,UPI,Food,575,4102
TXN-1011,ABCDE1234F,CF-ACC-001,2024-10-05,DEBIT,UPI,Savings Transfer,713,3389
TXN-1012,ABCDE1234F,CF-ACC-001,2024-10-06,CREDIT,NetBanking,Zomato Payout,893,4282
TXN-1013,ABCDE1234F,CF-ACC-001,2024-10-06,DEBIT,UPI,Fuel,579,3703
TXN-1014,ABCDE1234F,CF-ACC-001,2024-10-07,CREDIT,UPI,Zomato Payout,1307,5010
TXN-1015,ABCDE1234F,CF-ACC-001,2024-10-07,DEBIT,UPI,Food,551,4459
TXN-1016,ABCDE1234F,CF-ACC-001,2024-10-08,CREDIT,UPI,Zomato Payout,1371,5830
TXN-1017,ABCDE1234F,CF-ACC-001,2024-10-08,DEBIT,UPI,Fuel,500,5330
TXN-1018,ABCDE1234F,CF-ACC-001,2024-10-08,DEBIT,UPI,Loan EMI,1140,4190
TXN-1019,ABCDE1234F,CF-ACC-001,2024-10-09,CREDIT,UPI,Zomato Payout,1424,5614
TXN-1020,ABCDE1234F,CF-ACC-001,2024-10-09,DEBIT,UPI,Personal Expense,590,5024
TXN-1021,ABCDE1234F,CF-ACC-001,2024-10-10,CREDIT,NetBanking,Zomato Payout,1918,6942
TXN-1022,ABCDE1234F,CF-ACC-001,2024-10-10,DEBIT,UPI,Personal Expense,373,6569
TXN-1023,ABCDE1234F,CF-ACC-001,2024-10-11,CREDIT,UPI,Zomato Payout,1876,8445
