partner_id,pan_number,full_name,work_date,net_daily_income,fuel_expense,bank_name,account_last4
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-01,933,297,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-02,1025,305,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-03,844,287,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-04,775,327,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-05,0,165,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-06,1036,244,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-07,842,336,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-08,645,162,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-09,948,314,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-10,693,316,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-11,0,202,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-12,752,298,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-13,0,162,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-14,1078,246,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-15,875,160,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-16,0,283,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-17,649,258,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-18,554,187,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-19,667,234,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-20,641,188,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-21,657,214,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-22,534,164,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-23,813,164,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-24,0,255,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-25,1171,333,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-26,953,172,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-27,776,300,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-28,775,307,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-29,694,309,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-30,0,279,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-10-31,515,336,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-01,877,335,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-02,959,250,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-03,1159,242,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-04,1085,268,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-05,980,155,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-06,611,210,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-07,0,175,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-08,643,239,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-09,0,182,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-10,1126,280,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-11,0,324,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-12,0,170,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-13,0,171,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-14,1183,156,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-15,660,178,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-16,888,336,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-17,562,309,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-18,0,298,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-19,0,316,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-20,0,219,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-21,0,329,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-22,0,261,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-23,0,282,SBI Bank,9876
CF-P-003,ABCDE1234F,Rahul Sharma,2024-11-24,654,271,SBI Bank,9876
