transaction_id,linked_pan,account_id,transaction_date,transaction_type,mode,category,amount,balance_after_txn
TXN-2001,PQRSX6789L,CF-ACC-002,2024-10-01,CREDIT,NetBanking,Zomato Payout,2042,7042
TXN-2002,PQRSX6789L,CF-ACC-002,2024-10-01,DEBIT,UPI,Food,333,6709
TXN-2003,PQRSX6789L,CF-ACC-002,2024-10-01,DEBIT,NetBanking,Savings Transfer,961,5748
TXN-2004,PQRSX6789L,CF-ACC-002,2024-10-01,DEBIT,NetBanking,Loan EMI,600,5148
TXN-2005,PQRSX6789L,CF-ACC-002,2024-10-02,CREDIT,NetBanking,Zomato Payout,2275,7423
TXN-2006,PQRSX6789L,CF-ACC-002,2024-10-02,DEBIT,UPI,Food,258,7165
TXN-2007,PQRSX6789L,CF-ACC-002,2024-10-02,DEBIT,NetBanking,Savings Transfer,1190,5975
TXN-2008,PQRSX6789L,CF-ACC-002,2024-10-02,DEBIT,NetBanking,Loan EMI,600,5375
TXN-2009,PQRSX6789L,CF-ACC-002,2024-10-03,CREDIT,UPI,Zomato Payout,2180,7555
TXN-2010,PQRSX6789L,CF-ACC-002,2024-10-03,DEBIT,UPI,Food,308,7247
TXN-2011,PQRSX6789L,CF-ACC-002,2024-10-03,DEBIT,NetBanking,Savings Transfer,925,6322
TXN-2012,PQRSX6789L,CF-ACC-002,2024-10-03,DEBIT,NetBanking,Loan EMI,600,5722
TXN-2013,PQRSX6789L,CF-ACC-002,2024-10-04,CREDIT,UPI,Zomato Payout,2063,7785
TXN-2014,PQRSX6789L,CF-ACC-002,2024-10-04,DEBIT,UPI,Food,397,7388
TXN-2015,PQRSX6789L,CF-ACC-002,2024-10-04,DEBIT,NetBanking,Savings Transfer,835,6553
TXN-2016,PQRSX6789L,CF-ACC-002,2024-10-04,DEBIT,NetBanking,Loan EMI,600,5953
TXN-2017,PQRSX6789L,CF-ACC-002,2024-10-05,CREDIT,NetBanking,Zomato Payout,2367,8320
TXN-2018,PQRSX6789L,CF-ACC-002,2024-10-05,DEBIT,UPI,Food,257,8063
TXN-2019,PQRSX6789L,CF-ACC-002,2024-10-05,DEBIT,NetBanking,Savings Transfer,1078,6985
TXN-2020,PQRSX6789L,CF-ACC-002,2024-10-05,DEBIT,NetBanking,Loan EMI,600,6385
TXN-2021,PQRSX6789L,CF-ACC-002,2024-10-06,CREDIT,UPI,Zomato Payout,2396,8781
TXN-2022,PQRSX6789L,CF-ACC-002,2024-10-06,DEBIT,UPI,Fuel,426,8355
TXN-2023,PQRSX6789L,CF-ACC-002,2024-10-06,DEBIT,NetBanking,Savings Transfer,1020,7335
TXN-2024,PQRSX6789L,CF-ACC-002,2024-10-06,DEBIT,NetBanking,Loan EMI,600,6735
TXN-2025,PQRSX6789L,CF-ACC-002,2024-10-07,CREDIT,NetBanking,Zomato Payout,2199,8934
TXN-2026,PQRSX6789L,CF-ACC-002,2024-10-07,DEBIT,UPI,Fuel,343,8591
TXN-2027,PQRSX6789L,CF-ACC-002,2024-10-07,DEBIT,NetBanking,Savings Transfer,830,7761
TXN-2028,PQRSX6789L,CF-ACC-002,2024-10-07,DEBIT,NetBanking,Loan EMI,600,7161
TXN-2029,PQRSX6789L,CF-ACC-002,2024-10-08,CREDIT,UPI,Zomato Payout,2326,9487
TXN-2030,PQRSX6789L,CF-ACC-002,2024-10-08,DEBIT,UPI,Food,384,9103
TXN-2031,PQRSX6789L,CF-ACC-002,2024-10-08,DEBIT,NetBanking,Savings Transfer,974,8129
