partner_id,pan_number,full_name,work_date,net_daily_income,fuel_expense,bank_name,account_last4
CF-P-002,PQRSX6789L,Amit Verma,2024-10-01,0,237,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-02,1775,147,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-03,0,273,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-04,1287,229,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-05,0,116,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-06,1837,296,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-07,1050,179,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-08,776,194,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-09,1183,103,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-10,1206,125,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-11,0,114,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-12,0,214,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-13,1141,197,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-14,1518,219,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-15,0,253,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-16,1816,154,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-17,1397,190,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-18,884,254,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-19,0,272,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-20,1652,130,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-21,959,183,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-22,1646,133,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-23,1879,257,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-24,1042,115,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-25,1664,278,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-26,1157,284,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-27,1515,281,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-28,0,140,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-29,0,267,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-30,1028,149,ICICI Bank,1234
CF-P-002,PQRSX6789L,Amit Verma,2024-10-31,1972,141,ICICI Bank,1234
