transaction_id,linked_pan,account_id,transaction_date,transaction_type,mode,category,amount,balance_after_txn
TXN-3001,MNOPQ5678K,CF-ACC-004,2024-10-01,CREDIT,NetBanking,Freelance Payout,1425,9425
TXN-3002,MNOPQ5678K,CF-ACC-004,2024-10-01,DEBIT,UPI,Food,213,9212
TXN-3003,MNOPQ5678K,CF-ACC-004,2024-10-01,DEBIT,NetBanking,Savings Transfer,865,8347
TXN-3004,MNOPQ5678K,CF-ACC-004,2024-10-02,DEBIT,UPI,Food,250,8097
TXN-3005,MNOPQ5678K,CF-ACC-004,2024-10-03,CREDIT,NetBanking,Freelance Payout,2020,10117
TXN-3006,MNOPQ5678K,CF-ACC-004,2024-10-03,DEBIT,UPI,Food,226,9891
TXN-3007,MNOPQ5678K,CF-ACC-004,2024-10-04,CREDIT,NetBanking,Freelance Payout,1575,11466
TXN-3008,MNOPQ5678K,CF-ACC-004,2024-10-04,DEBIT,UPI,Food,249,11217
TXN-3009,MNOPQ5678K,CF-ACC-004,2024-10-04,DEBIT,NetBanking,Savings Transfer,853,10364
TXN-3010,MNOPQ5678K,CF-ACC-004,2024-10-05,CREDIT,NetBanking,Freelance Payout,1809,12173
TXN-3011,MNOPQ5678K,CF-ACC-004,2024-10-05,DEBIT,UPI,Food,250,11923
TXN-3012,MNOPQ5678K,CF-ACC-004,2024-10-05,DEBIT,NetBanking,Loan EMI,3500,8423
TXN-3013,MNOPQ5678K,CF-ACC-004,2024-10-06,CREDIT,NetBanking,Freelance Payout,1256,9679
TXN-3014,MNOPQ5678K,CF-ACC-004,2024-10-06,DEBIT,UPI,Food,399,9280
TXN-3015,MNOPQ5678K,CF-ACC-004,2024-10-07,CREDIT,NetBanking,Freelance Payout,1835,11115
TXN-3016,MNOPQ5678K,CF-ACC-004,2024-10-07,DEBIT,UPI,Food,221,10894
TXN-3017,MNOPQ5678K,CF-ACC-004,2024-10-07,DEBIT,NetBanking,Savings Transfer,563,10331
TXN-3018,MNOPQ5678K,CF-ACC-004,2024-10-08,CREDIT,NetBanking,Freelance Payout,2505,12836
TXN-3019,MNOPQ5678K,CF-ACC-004,2024-10-08,DEBIT,UPI,Food,325,12511
TXN-3020,MNOPQ5678K,CF-ACC-004,2024-10-09,DEBIT,UPI,Food,372,12139
TXN-3021,MNOPQ5678K,CF-ACC-004,2024-10-10,DEBIT,UPI,Food,424,11715
TXN-3022,MNOPQ5678K,CF-ACC-004,2024-10-10,DEBIT,NetBanking,Savings Transfer,984,10731
TXN-3023,MNOPQ5678K,CF-ACC-004,2024-10-11,CREDIT,NetBanking,Freelance Payout,1498,12229
TXN-3024,MNOPQ5678K,CF-ACC-004,2024-10-11,DEBIT,UPI,Food,191,12038
TXN-3025,MNOPQ5678K,CF-ACC-004,2024-10-12,CREDIT,NetBanking,Freelance Payout,2133,14171
TXN-3026,MNOPQ5678K,CF-ACC-004,2024-10-12,DEBIT,UPI,Food,401,13770
TXN-3027,MNOPQ5678K,CF-ACC-004,2024-10-13,DEBIT,UPI,Food,324,13446
TXN-3028,MNOPQ5678K,CF-ACC-004,2024-10-13,DEBIT,NetBanking,Savings Transfer,1063,12383
TXN-3029,MNOPQ5678K,CF-ACC-004,2024-10-14,CREDIT,NetBanking,Freelance Payout,1815,14198
TXN-3030,MNOPQ5678K,CF-ACC-004,2024-10-14,DEBIT,UPI,Food,220,13978
TXN-3031,MNOPQ5678K,CF-ACC-004,2024-10-15,DEBIT,UPI,Food,193,13785
TXN-3032,MNOPQ5678K,CF-ACC-004,2024-10-16,CREDIT,NetBanking,Freelance Payout,2202,15987
TXN-3033,MNOPQ5678K,CF-ACC-004,2024-10-16,DEBIT,UPI,Food,211,15776
TXN-3034,MNOPQ5678K,CF-ACC-004,2024-10-16,DEBIT,NetBanking,Savings Transfer,674,15102
TXN-3035,MNOPQ5678K,CF-ACC-004,2024-10-17,CREDIT,NetBanking,Freelance Payout,1663,16765
TXN-3036,MNOPQ5678K,CF-ACC-004,2024-10-17,DEBIT,UPI,Food,354,16411
TXN-3037,MNOPQ5678K,CF-ACC-004,2024-10-18,DEBIT,UPI,Food,192,16219
TXN-3038,MNOPQ5678K,CF-ACC-004,2024-10-19,CREDIT,NetBanking,Freelance Payout,2025,18244
TXN-3039,MNOPQ5678K,CF-ACC-004,2024-10-19,DEBIT,UPI,Food,193,18051
TXN-3040,MNOPQ5678K,CF-ACC-004,2024-10-19,DEBIT,NetBanking,Savings Transfer,794,17257
TXN-3041,MNOPQ5678K,CF-ACC-004,2024-10-20,CREDIT,NetBanking,Freelance Payout,2205,19462
TXN-3042,MNOPQ5678K,CF-ACC-004,2024-10-20,DEBIT,UPI,Food,238,19224
TXN-3043,MNOPQ5678K,CF-ACC-004,2024-10-21,DEBIT,UPI,Food,278,18946
TXN-3044,MNOPQ5678K,CF-ACC-004,2024-10-22,CREDIT,NetBanking,Freelance Payout,1309,20255
TXN-3045,MNOPQ5678K,CF-ACC-004,2024-10-22,DEBIT,UPI,Food,373,19882
TXN-3046,MNOPQ5678K,CF-ACC-004,2024-10-22,DEBIT,NetBanking,Savings Transfer,549,19333
TXN-3047,MNOPQ5678K,CF-ACC-004,2024-10-23,CREDIT,NetBanking,Freelance Payout,1219,20552
TXN-3048,MNOPQ5678K,CF-ACC-004,2024-10-23,DEBIT,UPI,Food,395,20157
TXN-3049,MNOPQ5678K,CF-ACC-004,2024-10-24,CREDIT,NetBanking,Freelance Payout,2021,22178
TXN-3050,MNOPQ5678K,CF-ACC-004,2024-10-24,DEBIT,UPI,Food,314,21864
TXN-3051,MNOPQ5678K,CF-ACC-004,2024-10-25,DEBIT,UPI,Food,403,21461
TXN-3052,MNOPQ5678K,CF-ACC-004,2024-10-25,DEBIT,NetBanking,Savings Transfer,509,20952
TXN-3053,MNOPQ5678K,CF-ACC-004,2024-10-26,DEBIT,UPI,Food,197,20755
TXN-3054,MNOPQ5678K,CF-ACC-004,2024-10-27,CREDIT,NetBanking,Freelance Payout,1255,22010
TXN-3055,MNOPQ5678K,CF-ACC-004,2024-10-27,DEBIT,UPI,Food,426,21584
TXN-3056,MNOPQ5678K,CF-ACC-004,2024-10-28,CREDIT,NetBanking,Freelance Payout,1937,23521
TXN-3057,MNOPQ5678K,CF-ACC-004,2024-10-28,DEBIT,UPI,Food,281,23240
TXN-3058,MNOPQ5678K,CF-ACC-004,2024-10-28,DEBIT,NetBanking,Savings Transfer,931,22309
TXN-3059,MNOPQ5678K,CF-ACC-004,2024-10-29,DEBIT,UPI,Food,280,22029
TXN-3060,MNOPQ5678K,CF-ACC-004,2024-10-30,DEBIT,UPI,Food,297,21732
TXN-3061,MNOPQ5678K,CF-ACC-004,2024-10-31,CREDIT,NetBanking,Freelance Payout,2051,23783
TXN-3062,MNOPQ5678K,CF-ACC-004,2024-10-31,DEBIT,UPI,Food,288,23495
TXN-3063,MNOPQ5678K,CF-ACC-004,2024-10-31,DEBIT,NetBanking,Savings Transfer,708,22787
