partner_id,pan_number,full_name,work_date,net_daily_income,fuel_expense,bank_name,account_last4
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-01,1039,66,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-02,1086,84,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-03,1671,72,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-04,1198,83,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-05,1344,99,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-06,1679,54,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-07,1781,101,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-08,0,61,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-09,2187,120,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-10,0,142,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-11,0,167,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-12,1677,74,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-13,0,90,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-14,2195,50,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-15,2168,147,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-16,1053,53,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-17,0,151,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-18,995,82,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-19,1292,134,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-20,0,55,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-21,1677,56,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-22,2001,131,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-23,822,97,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-24,916,143,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-25,0,110,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-26,0,153,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-27,1672,114,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-28,0,157,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-29,0,50,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-30,0,135,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-10-31,0,168,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-01,1584,98,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-02,875,98,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-03,0,106,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-04,1705,102,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-05,2342,126,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-06,833,164,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-07,1365,142,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-08,0,63,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-09,1366,150,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-10,0,67,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-11,1805,116,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-12,2102,137,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-13,1292,121,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-14,1906,53,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-15,2379,53,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-16,1251,55,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-17,1806,104,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-18,0,179,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-19,0,63,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-20,1350,147,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-21,815,55,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-22,2323,80,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-23,2236,86,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-24,1878,131,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-25,0,88,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-26,0,53,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-27,2386,178,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-28,1029,164,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-29,0,88,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-11-30,1745,142,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-01,0,127,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-02,2297,107,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-03,2438,110,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-04,2411,155,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-05,0,63,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-06,0,73,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-07,2024,102,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-08,1480,66,Axis Bank,7823
